Player,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,H1_1,H1_2,H2_1,H2_2,H3_1,H3_2,hand,height(cm),weight(lbs),BA
michael_young,0.48617,0.04388,0.245745,0.32448,0.394681,0.374134,0.465957,0.143187,0.460638,0.520785,0.589362,0.5,0,185,200,0.2999
earl_sheely,0.51221,0.351562,0.442002,0.55957,0.55006,0.556152,0.545788,0.409668,0.541514,0.59668,0.649573,0.574707,0,195,190,0.2997
albert_pujols,0.458015,0.1175,0.085878,0.37125,0.259542,0.4625,0.358779,0.26625,0.375954,0.6,0.568702,0.54875,0,190,235,0.2996
dustin_pedroia,0.519141,0.011111,0.455469,0.265278,0.513281,0.369444,0.510547,0.172222,0.494141,0.480556,0.571094,0.479167,0,175,175,0.2993
bake_mcbride,0.769704,0.300654,0.369458,0.409314,0.20197,0.40768,0.413793,0.179739,0.523399,0.514706,0.311576,0.495098,1,188,190,0.2992
rico_carty,0.381786,0.09595,0.256786,0.408631,0.4575,0.443105,0.4675,0.212633,0.337857,0.491321,0.538929,0.476374,0,190,100,0.2991
matt_holliday,0.68,0.048889,0.303333,0.127778,0.4,0.262222,0.476667,0.104444,0.373333,0.478889,0.601667,0.471111,0,193,240,0.299
denny_lofton,0.995,0.0575,0.876667,0.3975,0.63,0.36375,0.563333,0.07875,0.586667,0.47125,0.425,0.4375,1,183,180,0.299
dante_bichette,0.458594,0.125694,0.33125,0.316667,0.411719,0.406944,0.432812,0.231944,0.399219,0.554167,0.479297,0.527083,0,190,217,0.2987
barry_bonds,0.46809,0.039333,0.65448,0.2485,0.469992,0.296167,0.434277,0.118833,0.344252,0.443167,0.494928,0.444667,1,185,185,0.2981
jose_vidro,0.527569,0.031046,0.213033,0.421569,0.483709,0.530229,0.45614,0.236928,0.414787,0.645425,0.692982,0.625,0,175,180,0.2981
julio_franco,0.938507,0.074707,0.331625,0.082031,0.372621,0.257812,0.448755,0.157715,0.213031,0.481445,0.426794,0.487305,0,183,160,0.298
ted_kluszewski,0.645417,0.10061,0.8425,0.527003,0.525417,0.64547,0.45875,0.077091,0.114167,0.882404,0.440417,0.912456,1,188,225,0.2979
ryan_braun,0.385,0.024167,0.2225,0.530833,0.403333,0.6,0.4075,0.230833,0.444167,0.7425,0.626667,0.690833,0,188,205,0.2977
danieL_murphy,0.606268,0.081581,0.662831,0.344806,0.563663,0.439452,0.566601,0.219567,0.507835,0.526131,0.623653,0.543658,1,187,225,0.2976
placido_polanco,0.526786,0.055031,0.211538,0.323264,0.33671,0.415861,0.426168,0.268453,0.379636,0.598748,0.56851,0.554811,0,175,190,0.2969
bernie_williams,0.595192,0.017487,0.761538,0.39443,0.509615,0.490285,0.55,0.207902,0.675,0.56671,0.4125,0.562176,0,188,180,0.2969
michael_brantley,0.84229,0.031606,0.68117,0.639103,0.527284,0.737413,0.561389,0.180816,0.749793,0.916942,0.573584,0.941749,1,188,200,0.2968
mike_sweeney,0.559084,0.099609,0.194239,0.257324,0.330133,0.38623,0.3774,0.220703,0.343427,0.534668,0.518464,0.506836,0,185,195,0.2968
ken_griffey,0.561458,0.009722,0.510417,0.229167,0.395833,0.297222,0.414583,0.113889,0.502083,0.420833,0.4125,0.440278,1,180,190,0.2964
jeff_cirillo,0.475278,0.106481,0.228889,0.290185,0.390833,0.38963,0.411667,0.233148,0.321389,0.498519,0.485556,0.49537,0,188,190,0.2961
keith_hernandez,0.470313,0.0225,0.803125,0.37375,0.601562,0.43125,0.510938,0.18125,0.542188,0.4875,0.353125,0.48,1,183,180,0.2961
brian_harper,0.269608,0.020936,0.263072,0.301724,0.361928,0.365764,0.376634,0.135468,0.348039,0.450739,0.417484,0.440887,0,188,195,0.2955
juan_gonzales,0.828358,0.094771,0.384328,0.178922,0.542289,0.310458,0.543532,0.189542,0.355721,0.509804,0.558458,0.506536,0,190,175,0.2953
bob_watson,0.2875,0.037864,0.209643,0.455115,0.423929,0.512036,0.488929,0.240722,0.435714,0.561434,0.644643,0.543129,0,183,201,0.2952
victor_martinez,0.471978,0.032374,0.237912,0.230216,0.401648,0.333453,0.373077,0.220504,0.251099,0.518705,0.475275,0.508993,0,188,235,0.2951
kevin_seitzer,0.394737,0.22625,0.321429,0.43375,0.421053,0.49125,0.454887,0.36125,0.479323,0.56125,0.54125,0.015038,0,180,180,0.295
albert_belle,0.427835,0.164062,0.409426,0.468262,0.540501,0.498535,0.461708,0.310547,0.360825,0.556152,0.535346,0.564453,0,185,190,0.2949
john_olerud,0.596958,0.06125,0.623574,0.3775,0.423954,0.43625,0.492395,0.15625,0.65019,0.4575,0.43346,0.475,1,196,205,0.2949
mickey_rivers,0.660909,0.033479,0.663636,0.382096,0.47,0.438865,0.55,0.184862,0.581818,0.443231,0.405455,0.428675,1,178,165,0.2949
alex_rodriguez,0.183333,0.039523,0.163333,0.326941,0.413333,0.417446,0.45125,0.236202,0.3425,0.53508,0.582917,0.517072,0,190,230,0.2948
nolan_arenado,0.669574,0.106,0.261689,0.218,0.378925,0.3445,0.473133,0.181,0.425331,0.5225,0.598744,0.5195,0,188,215,0.2947
mark_loretta,0.314244,0.108887,0.305433,0.279297,0.488253,0.364258,0.456681,0.218262,0.4163,0.520508,0.588106,0.492676,0,183,175,0.2947
willie_mcgee,0.924691,0.0215,0.77963,0.266,0.589506,0.351,0.666049,0.151,0.698148,0.4835,0.551235,0.4675,1,185,175,0.2947
steve_garvey,0.134511,0.02546,0.341712,0.395991,0.544837,0.410618,0.466033,0.128386,0.519701,0.483749,0.6875,0.449079,0,178,192,0.2942
j_d_martinez,0.293945,0.037586,0.255371,0.531034,0.419922,0.664828,0.398926,0.335862,0.304932,0.885172,0.469238,0.887241,0,190,220,0.2941
mike_grady,0.512791,0.053922,0.705814,0.303922,0.57907,0.398693,0.551163,0.244281,0.594186,0.541667,0.44186,0.529412,0,180,190,0.2939
tommy_davis,0.165877,0.099673,0.28436,0.446895,0.498815,0.473039,0.5,0.226307,0.379147,0.507353,0.585308,0.482026,0,188,195,0.2936
lance_berkman,0.570707,0.076599,0.20202,0.234007,0.316919,0.339226,0.388889,0.179293,0.438131,0.509259,0.616162,0.467172,0,185,220,0.2935
mike_easler,0.647335,0.110112,0.80094,0.313483,0.606583,0.38427,0.60815,0.21236,0.547022,0.446067,0.416928,0.422472,1,183,190,0.2932
garret_anderson,0.501742,0.108721,0.675958,0.319767,0.511324,0.387791,0.517422,0.212791,0.601916,0.476163,0.415505,0.461047,1,190,190,0.2927
josé_abreu,0.47125,0.062655,0.277917,0.274194,0.33,0.420596,0.370833,0.237593,0.357083,0.565136,0.44,0.538462,0,190,255,0.2926
dick_allen,0.254444,0.046823,0.207778,0.269231,0.56,0.507525,0.576667,0.094482,0.345556,0.650502,0.702222,0.658863,0,180,187,0.2919
gary_sheffield,0.43,0.047468,0.265,0.333861,0.475,0.392405,0.4675,0.253165,0.405,0.55538,0.6025,0.539557,0,180,190,0.2917
dmitri_young,0.427019,0.085283,0.829969,0.304906,0.62293,0.397823,0.556418,0.172677,0.705228,0.511371,0.431677,0.47206,0,188,295,0.2917
justin_turner,0.325269,0.129293,0.206989,0.726263,0.36828,0.730303,0.364247,0.307071,0.247984,0.838384,0.416667,0.788889,0,180,202,0.2916
bobby_abreu,0.587432,0.089091,0.751366,0.32,0.519126,0.397273,0.527322,0.21,0.622951,0.527273,0.424863,0.518182,1,183,220,0.2913
ellis_burks,0.092402,0.10866,0.270021,0.510621,0.560575,0.607026,0.550308,0.265523,0.37885,0.754085,0.601643,0.753268,0,188,175,0.2913
david_segui,0.58867,0.065359,0.587438,0.247549,0.44335,0.355392,0.518473,0.191176,0.628079,0.450163,0.444581,0.455882,1,185,170,0.2913
darryl_hamilton,0.716749,0.119281,0.644089,0.385621,0.448276,0.424837,0.550493,0.197712,0.690887,0.5,0.495074,0.501634,1,185,180,0.2912
mike_marshall_999,0.500723,0.019169,0.096098,0.576677,0.379335,0.605431,0.413295,0.13738,0.49711,0.715655,0.734827,0.645367,0,196,215,0.2702
alfonso_soriano_998,0.526171,0.002045,0.055096,0.237219,0.292011,0.388037,0.365014,0.171779,0.436639,0.527607,0.630165,0.514315,0,185,195,0.2703
jody_reed_997,0.464928,0.00463,0.079137,0.46164,0.373201,0.490079,0.438849,0.112434,0.566547,0.713624,0.872302,0.660053,0,175,170,0.2703
kevin_bass_996,0.477839,0.020161,0.93144,0.30746,0.623269,0.403226,0.584488,0.099798,0.493075,0.564516,0.198061,0.521169,1,183,183,0.2703
jason_barlett_995,0.424769,0.003546,0.125,0.348404,0.445602,0.480496,0.493056,0.097518,0.400463,0.738475,0.788194,0.731383,0,183,190,0.2703
bobby_thomson_994,0.479962,0.127743,0.229008,0.507837,0.478053,0.54232,0.485687,0.167712,0.458969,0.721787,0.743321,0.709248,0,188,180,0.2704
rube_oldring_993,0.702236,0.203125,0.239837,0.382812,0.434959,0.414062,0.526423,0.213778,0.470528,0.566051,0.706301,0.529119,0,178,186,0.2704
bill_spiers_992,0.421053,0.006925,0.862664,0.296399,0.702303,0.351801,0.661184,0.047784,0.541118,0.468837,0.318257,0.40928,1,188,190,0.2705
glenallen_hill_991,0.236891,0.006631,0.324906,0.289125,0.524345,0.322944,0.432584,0.094164,0.365169,0.415119,0.571161,0.39191,0,190,210,0.2705
terry_steinbach_990,0.298817,0.007229,0.139053,0.21988,0.323225,0.343373,0.378698,0.056024,0.434911,0.490964,0.695266,0.444578,0,185,195,0.2706
cory_hart_989,0.46747,0.035965,0.109639,0.359649,0.357831,0.419737,0.392771,0.160965,0.362651,0.535088,0.618675,0.501316,0,198,240,0.2706
tino_martiniez_988,0.640625,0.0525,0.835069,0.297,0.605035,0.391,0.625868,0.178,0.642361,0.542,0.392361,0.5175,1,188,205,0.2707
omar_infante_987,0.614621,0.113071,0.209386,0.195539,0.466606,0.342842,0.405235,0.103734,0.276173,0.488589,0.560469,0.478734,0,180,195,0.2707
milton_bradley_986,0.630117,0.035204,0.108187,0.335204,0.328947,0.442857,0.371345,0.152551,0.423977,0.578571,0.627193,0.554592,0,183,215,0.2707
mike_lansing_985,0.206422,0.051296,0.04052,0.427646,0.318807,0.449784,0.308104,0.205724,0.337156,0.541037,0.573394,0.516199,0,183,175,0.2708
kid_elberfield_984,0.097166,0.194981,0.680162,0.3861,0.859312,0.398649,0.532389,0.146236,0.408907,0.512548,0.70749,0.505792,0,170,158,0.2708
jorge_cantu_983,0.363497,0.053672,0.131135,0.368644,0.30138,0.474576,0.302147,0.289077,0.319785,0.590866,0.537577,0.572976,0,190,205,0.2708
bill_bradley_982,0.104839,0.107717,0.280914,0.481511,0.564516,0.459807,0.56586,0.144695,0.366935,0.504823,0.681452,0.46463,0,183,185,0.2709
erick_aybar_981,0.358859,0.102113,0.337838,0.467807,0.536787,0.504527,0.445946,0.231891,0.353604,0.551308,0.617868,0.527163,0,178,195,0.2709
roy_white_980,0.425856,0.046537,0.859316,0.404762,0.546578,0.439394,0.531369,0.121212,0.518061,0.482684,0.258555,0.471861,1,178,160,0.2711
tom_herr_979,0.673137,0.008333,0.802795,0.371795,0.462733,0.476282,0.479814,0.115385,0.496894,0.721154,0.159161,0.679487,1,183,175,0.2711
christian_guzman_978,0.058673,0.011798,0.323129,0.416854,0.561224,0.447191,0.447279,0.136517,0.25,0.553371,0.582483,0.547191,0,183,180,0.2711
edddie_matthews_977,0.522177,0.079521,0.898522,0.526144,0.452285,0.587691,0.561828,0.104031,0.581989,0.948257,0.122984,0.921024,1,185,190,0.2712
steve_finlay_976,0.509291,0.008157,0.866554,0.245202,0.590372,0.34501,0.628378,0.15691,0.662162,0.533109,0.383446,0.49952,1,188,175,0.2712
carl_everett_975,0.466454,0.047423,0.070288,0.322165,0.269968,0.409278,0.367412,0.218041,0.320288,0.542268,0.57508,0.512887,0,183,181,0.2712
denny_walling_974,0.659167,0.015504,0.81,0.43863,0.576667,0.486434,0.6,0.167313,0.625,0.544574,0.408333,0.524548,1,183,180,0.2713
joe_morgan_973,0.805451,0.027385,0.789474,0.545936,0.50188,0.573322,0.650376,0.126325,0.610902,0.64841,0.333647,0.616608,1,170,160,0.2713
doug_mientkiewicz_972,0.803381,0.007979,0.626335,0.391622,0.38968,0.369016,0.512456,0.095745,0.599644,0.515957,0.341637,0.511303,1,188,195,0.2714
sixto_lezcano_971,0.262097,0.012987,0.232258,0.482955,0.374194,0.570617,0.41129,0.32224,0.458065,0.763799,0.649194,0.729708,0,178,165,0.2714
duane_kupier_970,0.68254,0.007669,0.802579,0.545245,0.405754,0.535276,0.526786,0.082822,0.603175,0.582822,0.299603,0.57362,1,183,175,0.2714
norm_cash_969,0.576531,0.039666,0.856122,0.315762,0.508163,0.38048,0.568367,0.137787,0.704082,0.505741,0.326531,0.473382,1,183,185,0.2714
garry_templeton_968,0.653045,0.007092,0.935897,0.203901,0.677083,0.327423,0.615385,0.123522,0.568109,0.536052,0.349359,0.475768,1,180,175,0.2715
rey_sanchez_967,0.395257,0.004902,0.139328,0.338235,0.418972,0.489216,0.411067,0.103922,0.309289,0.756863,0.62253,0.719608,0,178,180,0.2715
ray_knight_966,0.362261,0.003941,0.140127,0.331644,0.414013,0.405968,0.426752,0.083896,0.476115,0.539414,0.703025,0.524775,0,185,185,0.2715
jerry_browne_965,0.375536,0.004792,0.100858,0.402556,0.300429,0.433706,0.32618,0.199681,0.408798,0.523962,0.61588,0.465655,0,185,185,0.2715
barry_bonnell_964,0.480198,0.069322,0.12995,0.436578,0.483911,0.465339,0.408416,0.245575,0.410891,0.600295,0.674505,0.581858,0,190,190,0.2715
leon_wagner_962,0.868,0.178302,0.512,0.620755,0.218,0.491509,0.492,0.178302,0.704,0.546226,0.274,0.535849,1,185,195,0.2716
norm_siebern_961,0.27,0.004292,0.131667,0.284335,0.455,0.313305,0.435,0.055794,0.353333,0.477468,0.661667,0.463519,1,188,200,0.2716
ray_lankford_960,0.462413,0.01306,0.925699,0.285448,0.527098,0.404851,0.520105,0.133085,0.532343,0.674751,0.238636,0.608831,1,180,180,0.2716
omar_vizquel_959,0.259649,0.039112,0.197368,0.418076,0.441228,0.447146,0.414035,0.225687,0.487719,0.55444,0.707018,0.4926,0,175,180,0.2718
jeffrey_hammonds_958,0.583333,0.087591,0.03125,0.192822,0.249132,0.307786,0.30816,0.113139,0.365451,0.497567,0.637153,0.458637,0,183,195,0.2718
orlando_cabrera_957,0.61,0.007256,0.055833,0.227573,0.299167,0.305409,0.363333,0.097625,0.365,0.542876,0.606667,0.494723,0,178,195,0.2718
adam_kennedy_956,0.412757,0.047423,0.722141,0.252062,0.550587,0.360309,0.56305,0.160309,0.58651,0.469588,0.372434,0.458247,1,180,195,0.2719
dwight_evans_955,0.429365,0.139755,0.080159,0.328508,0.355556,0.431514,0.384127,0.168151,0.363492,0.512249,0.606349,0.477171,0,188,180,0.2719
ken_camniniti_954,0.724359,0.005799,0.895032,0.431057,0.641026,0.447809,0.653846,0.143686,0.625801,0.521907,0.41266,0.471649,1,183,200,0.2719
marquis_grissom_953,0.291379,0.045768,0.261207,0.39124,0.528448,0.477854,0.442241,0.242618,0.368103,0.551673,0.623276,0.549213,0,180,190,0.272
ivan_calderon_952,0.359259,0.046036,0.173148,0.223785,0.403704,0.337596,0.4,0.075448,0.401852,0.48913,0.702778,0.459719,0,185,220,0.272
wally_westlake_951,0.292328,0.081132,0.072751,0.387736,0.498677,0.49717,0.421958,0.174528,0.464286,0.828302,0.921958,0.781132,0,183,186,0.2721
bobby_higginson_950,0.645186,0.032242,0.906832,0.410218,0.670807,0.47371,0.622671,0.230655,0.680901,0.543155,0.430124,0.5,1,180,180,0.2721
marcel_ozuna-949,0.317308,0.075843,0.180556,0.452949,0.429487,0.525281,0.442308,0.26264,0.344017,0.591994,0.602564,0.5625,0,185,225,0.2723